FID,F_id,power,ObjID,pop_densit,road,building_3,cluster_id,priority_s,a,POINT_X,POINT_Y
0,node/8497576503,tower,6552,38475.41346,1115.633586,0.000225106,0,-1.204586462,0.56306,37748089.26,2559840.268
1,node/8497576494,tower,6551,49784.65994,1160.665487,0.000233593,0,-1.544083882,0.427010777,37747865.3,2559839.422
2,node/8497576493,tower,6550,54856.47696,1231.243856,0.000245728,0,-1.746350622,0.345954982,37747661.12,2559838.907
3,node/8497576492,tower,6549,55880.53254,1283.479045,0.000262016,0,-1.836725893,0.309738255,37747436.02,2559839.833
4,node/8497576491,tower,6548,44680.96075,1344.007975,0.000271239,0,-1.334063226,0.511173853,37747144.56,2559897.07
5,node/8497576489,tower,6546,42273.2186,1385.138,0.000277378,0,-1.281870007,0.532089614,37747049.84,2559953.886
6,node/8497573387,tower,6266,9206.29797,866.5518392,0.000127587,1,-0.513093517,0.840166903,37747104.87,2565646.489
7,node/8497573389,tower,6268,9000.976738,866.5518392,0.000127587,1,-0.509990997,0.841410198,37747112.9,2565676.284
8,node/8497576490,tower,6547,37735.74691,1384.250692,0.000284021,0,-1.251862664,0.544114671,37746862.91,2560000.144
9,node/8497576488,tower,6545,32486.66498,1436.263947,0.000281852,0,-1.131107117,0.592505903,37746555.72,2560043.887
10,node/8497576486,tower,6543,38240.76062,1402.631683,0.000283582,0,-1.241812159,0.548142281,37746270.82,2560044.785
11,node/8497576487,tower,6544,38907.7358,1402.631683,0.000284955,0,-1.27427801,0.535132009,37746283.31,2560087.921
12,node/8550783106,tower,12049,17310.74784,932.5076141,0.000126145,1,-0.787884669,0.730047884,37745568.24,2565366.082
13,node/8550783107,tower,12050,17791.53109,932.5076141,0.000122069,1,-0.780917029,0.732840076,37745547.75,2565391.305
14,node/8550783105,tower,12048,13526.97085,954.0576782,0.00013888,1,-0.763921724,0.739650726,37745879.42,2565423.553
15,node/8550783114,tower,12057,17579.83343,932.5076141,0.000122069,1,-0.769350924,0.737475044,37745548.92,2565420.432
16,node/8550783108,tower,12051,13391.79041,938.9594269,0.00013888,1,-0.755497917,0.743026458,37745852.09,2565447.299
17,node/8550783347,tower,12190,8802.031942,810.5156708,0.000109564,1,-0.376779095,0.894793154,37744702.51,2565189.625
18,node/8550783348,tower,12191,11480.13497,843.2621613,0.000107927,1,-0.389164993,0.889829665,37744953.69,2565252.242
19,node/8550783351,tower,12194,10371.91043,817.4069417,0.000107927,1,-0.389980673,0.889502792,37744908.95,2565272.689
20,node/8550783102,tower,12045,7802.206812,763.7706757,0.000110773,1,-0.481759096,0.852723769,37744291.03,2565271.705
21,node/8550783090,tower,12033,8697.458395,763.7706757,0.000110773,1,-0.489658012,0.84955838,37744263.16,2565286.833
22,node/8550783354,tower,12197,9846.492121,810.5156708,0.000107927,1,-0.387867483,0.890349625,37744902.18,2565299.912
23,node/8550783349,tower,12192,17504.59149,872.260376,0.000115225,1,-0.729057944,0.753621937,37745251.01,2565308.385
24,node/8550563107,tower,11199,9676.87893,763.7706757,0.000112834,1,-0.519921572,0.837430648,37744235.67,2565303.873
25,node/8550783352,tower,12195,9744.469149,810.5156708,0.000108119,1,-0.386459517,0.89091385,37744615.8,2565322.676
26,node/8550783350,tower,12193,17278.86566,872.260376,0.000115225,1,-0.716199753,0.758774692,37745260.95,2565338.887
27,node/8550783104,tower,12047,15276.66483,959.7271423,0.00014786,1,-0.936442245,0.670515346,37746188.17,2565478.674
28,node/8550783113,tower,12056,13456.83006,938.9594269,0.00013888,1,-0.757660736,0.742159736,37745849.7,2565476.09
29,node/8550783109,tower,12052,14229.65407,959.7271423,0.000142654,1,-0.836350644,0.710625768,37746160.55,2565503.501
30,node/8550783112,tower,12055,14037.08571,959.7271423,0.000141324,1,-0.813389251,0.719827251,37746150.37,2565528.206
31,node/8550783103,tower,12046,15466.68261,948.6483154,0.000148812,1,-0.951776485,0.664370347,37746527.58,2565540.992
32,node/8550783110,tower,12053,14141.65926,948.6483154,0.000148812,1,-0.907994735,0.68191532,37746516.7,2565567.193
33,node/8497573386,tower,6265,13613.69038,928.0644073,0.000152931,1,-0.943527677,0.667675951,37746741.25,2565577.471
34,node/8550783111,tower,12054,13585.63406,946.4748942,0.000144962,1,-0.840780979,0.708850368,37746514.33,2565594.078
35,node/8497573388,tower,6267,13115.0531,921.8741862,0.000144562,1,-0.818322407,0.717850352,37746829.67,2565624.304
36,node/8497573393,tower,6272,12745.21982,879.1289876,0.000138288,1,-0.733713614,0.751756237,37746810.96,2565650.231
37,node/8497573392,tower,6271,8045.786659,866.5518392,0.000127587,1,-0.499795818,0.845495785,37747129.44,2565706.354
38,node/8497573384,tower,6263,8016.455054,866.5518392,0.000127587,1,-0.499596054,0.845575838,37747150.66,2565734.871
39,node/8550747806,tower,11251,18475.08501,1525.744446,0.000196009,0,-0.876072037,0.694707931,37742811.84,2559885.361
40,node/8550747803,tower,11248,21093.24954,1574.934692,0.000196009,0,-0.728065587,0.754019611,37742787.8,2559935.004
41,node/8550747809,tower,11254,20302.5715,1445.914948,0.000163288,0,-1.007538672,0.642024368,37742729.4,2559475.805
